DATE,PPUT
06/30/1986,100.000000
07/01/1986,100.460000
07/02/1986,100.720000
07/03/1986,100.370000
07/07/1986,97.450000
07/08/1986,96.630000
07/09/1986,96.960000
07/10/1986,96.980000
07/11/1986,96.660000
07/14/1986,95.270000
07/15/1986,93.860000
07/16/1986,94.370000
07/17/1986,94.490000
07/18/1986,94.270000
07/21/1986,94.140000
07/22/1986,94.870000
07/23/1986,95.080000
07/24/1986,94.790000
07/25/1986,95.660000
07/28/1986,94.050000
07/29/1986,93.440000
07/30/1986,94.220000
07/31/1986,94.040000
08/01/1986,93.570000
08/04/1986,94.010000
08/05/1986,94.430000
08/06/1986,94.370000
08/07/1986,94.460000
08/08/1986,94.400000
08/11/1986,95.930000
08/12/1986,97.000000
08/13/1986,97.940000
08/14/1986,98.180000
08/15/1986,98.530000
08/18/1986,98.640000
08/19/1986,98.280000
08/20/1986,99.540000
08/21/1986,99.510000
08/22/1986,99.700000
08/25/1986,98.750000
08/26/1986,100.750000
08/27/1986,100.920000
08/28/1986,100.750000
08/29/1986,100.790000
09/02/1986,99.040000
09/03/1986,99.680000
09/04/1986,101.180000
09/05/1986,99.850000
09/08/1986,98.930000
09/09/1986,98.750000
09/10/1986,98.510000
09/11/1986,94.520000
09/12/1986,93.580000
09/15/1986,93.520000
09/16/1986,93.270000
09/17/1986,93.110000
09/18/1986,93.080000
09/19/1986,92.640000
09/22/1986,93.410000
09/23/1986,93.640000
09/24/1986,93.880000
09/25/1986,92.390000
09/26/1986,92.470000
09/29/1986,91.640000
09/30/1986,92.080000
10/01/1986,92.890000
10/02/1986,92.960000
10/03/1986,92.880000
10/06/1986,93.250000
10/07/1986,93.100000
10/08/1986,93.960000
10/09/1986,93.600000
10/10/1986,93.450000
10/13/1986,93.620000
10/14/1986,93.410000
10/15/1986,94.780000
10/16/1986,95.080000
10/17/1986,94.800000
10/20/1986,93.830000
10/21/1986,93.720000
10/22/1986,93.810000
10/23/1986,94.730000
10/24/1986,94.380000
10/27/1986,94.530000
10/28/1986,94.720000
10/29/1986,95.320000
10/30/1986,96.370000
10/31/1986,96.480000
11/03/1986,97.180000
11/04/1986,97.310000
11/05/1986,97.470000
11/06/1986,97.210000
11/07/1986,97.160000
11/10/1986,97.320000
11/11/1986,97.700000
11/12/1986,97.530000
11/13/1986,96.110000
11/14/1986,96.700000
11/17/1986,96.200000
11/18/1986,93.670000
11/19/1986,94.030000
11/20/1986,95.770000
11/21/1986,97.280000
11/24/1986,97.820000
11/25/1986,98.090000
11/26/1986,98.310000
11/28/1986,98.470000
12/01/1986,98.410000
12/02/1986,100.310000
12/03/1986,100.240000
12/04/1986,99.930000
12/05/1986,99.200000
12/08/1986,99.200000
12/09/1986,98.490000
12/10/1986,99.140000
12/11/1986,98.070000
12/12/1986,97.750000
12/15/1986,98.080000
12/16/1986,98.820000
12/17/1986,97.840000
12/18/1986,97.540000
12/19/1986,98.710000
12/22/1986,98.230000
12/23/1986,97.280000
12/24/1986,97.400000
12/26/1986,97.460000
12/29/1986,96.720000
12/30/1986,96.180000
12/31/1986,95.850000
01/02/1987,97.280000
01/05/1987,99.480000
01/06/1987,99.720000
01/07/1987,100.730000
01/08/1987,101.510000
01/09/1987,102.090000
01/12/1987,102.720000
01/13/1987,102.590000
01/14/1987,103.660000
01/15/1987,104.800000
01/16/1987,105.110000
01/19/1987,106.120000
01/20/1987,106.100000
01/21/1987,105.650000
01/22/1987,107.870000
01/23/1987,106.540000
01/26/1987,106.340000
01/27/1987,107.850000
01/28/1987,108.480000
01/29/1987,108.020000
01/30/1987,107.930000
02/02/1987,108.810000
02/03/1987,108.640000
02/04/1987,110.080000
02/05/1987,110.670000
02/06/1987,110.240000
02/09/1987,109.510000
02/10/1987,108.310000
02/11/1987,109.290000
02/12/1987,108.540000
02/13/1987,110.160000
02/17/1987,112.450000
02/18/1987,112.430000
02/19/1987,112.500000
02/20/1987,112.460000
02/23/1987,111.410000
02/24/1987,111.530000
02/25/1987,111.880000
02/26/1987,111.480000
02/27/1987,111.930000
03/02/1987,111.400000
03/03/1987,111.790000
03/04/1987,113.390000
03/05/1987,114.100000
03/06/1987,114.140000
03/09/1987,113.220000
03/10/1987,114.210000
03/11/1987,114.000000
03/12/1987,114.370000
03/13/1987,113.830000
03/16/1987,113.190000
03/17/1987,114.860000
03/18/1987,114.990000
03/19/1987,115.510000
03/20/1987,117.110000
03/23/1987,118.120000
03/24/1987,118.290000
03/25/1987,117.840000
03/26/1987,118.020000
03/27/1987,116.250000
03/30/1987,113.970000
03/31/1987,114.700000
04/01/1987,114.830000
04/02/1987,115.270000
04/03/1987,117.750000
04/06/1987,118.340000
04/07/1987,116.320000
04/08/1987,116.540000
04/09/1987,114.930000
04/10/1987,114.720000
04/13/1987,112.170000
04/14/1987,110.410000
04/15/1987,111.660000
04/16/1987,112.460000
04/20/1987,112.190000
04/21/1987,114.600000
04/22/1987,112.520000
04/23/1987,112.420000
04/24/1987,110.690000
04/27/1987,110.890000
04/28/1987,110.960000
04/29/1987,111.650000
04/30/1987,112.800000
05/01/1987,112.610000
05/04/1987,113.060000
05/05/1987,115.330000
05/06/1987,115.360000
05/07/1987,115.050000
05/08/1987,114.540000
05/11/1987,113.840000
05/12/1987,114.530000
05/13/1987,114.810000
05/14/1987,114.920000
05/15/1987,112.260000
05/18/1987,111.970000
05/19/1987,109.800000
05/20/1987,109.310000
05/21/1987,109.840000
05/22/1987,110.430000
05/26/1987,112.650000
05/27/1987,112.460000
05/28/1987,113.150000
05/29/1987,112.870000
06/01/1987,112.780000
06/02/1987,112.290000
06/03/1987,114.160000
06/04/1987,114.770000
06/05/1987,114.110000
06/08/1987,115.370000
06/09/1987,115.600000
06/10/1987,115.680000
06/11/1987,116.180000
06/12/1987,117.310000
06/15/1987,117.910000
06/16/1987,118.550000
06/17/1987,118.580000
06/18/1987,118.930000
06/19/1987,119.430000
06/22/1987,120.330000
06/23/1987,119.880000
06/24/1987,119.310000
06/25/1987,120.020000
06/26/1987,119.390000
06/29/1987,119.610000
06/30/1987,118.170000
07/01/1987,117.800000
07/02/1987,118.730000
07/06/1987,118.430000
07/07/1987,119.350000
07/08/1987,119.690000
07/09/1987,119.400000
07/10/1987,119.730000
07/13/1987,119.430000
07/14/1987,120.630000
07/15/1987,120.530000
07/16/1987,121.430000
07/17/1987,122.160000
07/20/1987,120.910000
07/21/1987,119.890000
07/22/1987,119.890000
07/23/1987,119.680000
07/24/1987,120.200000
07/27/1987,120.620000
07/28/1987,121.210000
07/29/1987,122.400000
07/30/1987,123.290000
07/31/1987,123.540000
08/03/1987,123.140000
08/04/1987,122.650000
08/05/1987,123.460000
08/06/1987,124.880000
08/07/1987,125.220000
08/10/1987,127.170000
08/11/1987,129.240000
08/12/1987,128.890000
08/13/1987,129.780000
08/14/1987,129.530000
08/17/1987,129.580000
08/18/1987,127.710000
08/19/1987,127.940000
08/20/1987,129.900000
08/21/1987,130.310000
08/24/1987,129.360000
