DATE,CASTHPI
1975-01-01,41.71
1975-04-01,42.74
1975-07-01,44.29
1975-10-01,45.77
1976-01-01,47.79
1976-04-01,50.27
1976-07-01,53.56
1976-10-01,55.58
1977-01-01,58.01
1977-04-01,63.01
1977-07-01,67.96
1977-10-01,70.68
1978-01-01,73.21
1978-04-01,75.98
1978-07-01,78.62
1978-10-01,81.8
1979-01-01,84.85
1979-04-01,88.64
1979-07-01,93.1
1979-10-01,96.4
1980-01-01,100.00
1980-04-01,102.86
1980-07-01,106.54
1980-10-01,108.38
1981-01-01,110.4
1981-04-01,112.94
1981-07-01,116.32
1981-10-01,117.52
1982-01-01,104.22
1982-04-01,107.39
1982-07-01,104.86
1982-10-01,115.85
1983-01-01,116.71
1983-04-01,117.43
1983-07-01,117.24
1983-10-01,117.76
1984-01-01,119.5
1984-04-01,120.13
1984-07-01,121.7
1984-10-01,122.78
1985-01-01,124.52
1985-04-01,126.32
1985-07-01,129.18
1985-10-01,130.59
1986-01-01,132.27
1986-04-01,134.81
1986-07-01,137.77
1986-10-01,141.12
1987-01-01,144.74
1987-04-01,148.3
1987-07-01,152.96
1987-10-01,157.28
1988-01-01,163.05
1988-04-01,169.76
1988-07-01,177.82
1988-10-01,187.54
1989-01-01,196.34
1989-04-01,205.99
1989-07-01,217.9
1989-10-01,224.74
1990-01-01,227.52
1990-04-01,228.24
1990-07-01,230.18
1990-10-01,228.64
1991-01-01,228.56
1991-04-01,227.14
1991-07-01,227.14
1991-10-01,228.82
1992-01-01,227.61
1992-04-01,225.25
1992-07-01,224.81
1992-10-01,222.71
1993-01-01,219.27
1993-04-01,217.38
1993-07-01,215.54
1993-10-01,214.26
1994-01-01,212.15
1994-04-01,207.0
1994-07-01,203.95
1994-10-01,201.06
1995-01-01,199.72
1995-04-01,201.62
1995-07-01,203.97
1995-10-01,203.64
1996-01-01,203.61
1996-04-01,201.02
1996-07-01,200.65
1996-10-01,201.69
1997-01-01,202.64
1997-04-01,204.69
1997-07-01,208.73
1997-10-01,212.38
1998-01-01,217.01
1998-04-01,221.75
1998-07-01,227.61
1998-10-01,232.0
1999-01-01,235.49
1999-04-01,239.5
1999-07-01,245.0
1999-10-01,250.19
2000-01-01,261.08
2000-04-01,268.09
2000-07-01,277.09
2000-10-01,285.66
2001-01-01,296.7
2001-04-01,305.78
2001-07-01,312.21
2001-10-01,316.6
2002-01-01,325.06
2002-04-01,336.09
2002-07-01,348.74
2002-10-01,358.94
2003-01-01,367.22
2003-04-01,374.11
2003-07-01,386.79
2003-10-01,411.53
2004-01-01,424.8
2004-04-01,451.4
2004-07-01,497.29
2004-10-01,516.41
2005-01-01,538.98
2005-04-01,570.55
2005-07-01,599.06
2005-10-01,625.79
2006-01-01,638.77
2006-04-01,644.62
2006-07-01,646.72
2006-10-01,642.99
2007-01-01,634.21
2007-04-01,623.58
2007-07-01,600.28
2007-10-01,575.81
2008-01-01,543.52
2008-04-01,498.64
2008-07-01,460.8
2008-10-01,444.94
2009-01-01,440.93
2009-04-01,420.82
2009-07-01,411.52
2009-10-01,412.85
2010-01-01,409.81
2010-04-01,408.6
2010-07-01,410.84
2010-10-01,406.31
2011-01-01,391.81
2011-04-01,385.53
2011-07-01,387.13
2011-10-01,385.95
2012-01-01,381.65
2012-04-01,382.29
2012-07-01,391.22
2012-10-01,399.54
2013-01-01,407.96
2013-04-01,426.7
2013-07-01,447.7
2013-10-01,462.56
2014-01-01,472.2
2014-04-01,484.98
2014-07-01,495.11
2014-10-01,500.73
2015-01-01,505.96
2015-04-01,517.32
2015-07-01,530.5
2015-10-01,537.82
2016-01-01,544.87
2016-04-01,554.51
2016-07-01,566.65
2016-10-01,573.47
2017-01-01,579.44
2017-04-01,591.48
2017-07-01,603.23
2017-10-01,611.89
2018-01-01,622.35
2018-04-01,634.2
2018-07-01,642.22
2018-10-01,642.15
2019-01-01,646.23
2019-04-01,652.85
2019-07-01,659.73
2019-10-01,664.01
2020-01-01,670.25
2020-04-01,677.92
2020-07-01,685.86
2020-10-01,699.97
2021-01-01,719.52
2021-04-01,762.27
2021-07-01,801.88
2021-10-01,834.41
2022-01-01,869.02
2022-04-01,924.56
2022-07-01,919.15
