DATE,USSTHPI
1975-01-01,60.04
1975-04-01,60.99
1975-07-01,61.17
1975-10-01,62.24
1976-01-01,62.87
1976-04-01,65.45
1976-07-01,66.53
1976-10-01,67.24
1977-01-01,69.5
1977-04-01,72.72
1977-07-01,74.35
1977-10-01,77.18
1978-01-01,79.58
1978-04-01,82.74
1978-07-01,85.16
1978-10-01,87.49
1979-01-01,91.4
1979-04-01,94.45
1979-07-01,96.46
1979-10-01,98.24
1980-01-01,100.00
1980-04-01,101.63
1980-07-01,104.44
1980-10-01,104.59
1981-01-01,105.2
1981-04-01,107.43
1981-07-01,108.83
1981-10-01,107.48
1982-01-01,106.18
1982-04-01,108.82
1982-07-01,107.04
1982-10-01,111.69
1983-01-01,114.41
1983-04-01,115.93
1983-07-01,116.95
1983-10-01,117.64
1984-01-01,119.43
1984-04-01,121.03
1984-07-01,122.17
1984-10-01,123.15
1985-01-01,124.89
1985-04-01,126.78
1985-07-01,128.75
1985-10-01,130.18
1986-01-01,132.71
1986-04-01,135.49
1986-07-01,137.55
1986-10-01,139.68
1987-01-01,142.46
1987-04-01,144.67
1987-07-01,146.34
1987-10-01,147.3
1988-01-01,149.58
1988-04-01,152.58
1988-07-01,154.16
1988-10-01,155.57
1989-01-01,157.39
1989-04-01,159.55
1989-07-01,162.96
1989-10-01,164.3
1990-01-01,165.24
1990-04-01,165.92
1990-07-01,166.95
1990-10-01,166.3
1991-01-01,167.67
1991-04-01,168.79
1991-07-01,169.12
1991-10-01,171.49
1992-01-01,172.81
1992-04-01,172.77
1992-07-01,174.74
1992-10-01,175.61
1993-01-01,175.69
1993-04-01,177.37
1993-07-01,178.81
1993-10-01,180.28
1994-01-01,181.41
1994-04-01,182.49
1994-07-01,183.25
1994-10-01,183.1
1995-01-01,184.05
1995-04-01,187.08
1995-07-01,189.96
1995-10-01,191.43
1996-01-01,193.57
1996-04-01,193.88
1996-07-01,194.75
1996-10-01,196.27
1997-01-01,197.9
1997-04-01,199.53
1997-07-01,202.24
1997-10-01,204.88
1998-01-01,207.94
1998-04-01,209.8
1998-07-01,212.75
1998-10-01,215.26
1999-01-01,217.52
1999-04-01,220.42
1999-07-01,223.55
1999-10-01,225.85
2000-01-01,230.18
2000-04-01,233.93
2000-07-01,238.19
2000-10-01,241.84
2001-01-01,247.82
2001-04-01,251.98
2001-07-01,255.89
2001-10-01,259.05
2002-01-01,262.77
2002-04-01,267.25
2002-07-01,272.55
2002-10-01,276.42
2003-01-01,279.79
2003-04-01,283.21
2003-07-01,287.57
2003-10-01,295.72
2004-01-01,300.37
2004-04-01,307.7
2004-07-01,319.42
2004-10-01,326.26
2005-01-01,333.74
2005-04-01,344.43
2005-07-01,354.9
2005-10-01,362.94
2006-01-01,368.7
2006-04-01,372.47
2006-07-01,375.54
2006-10-01,379.38
2007-01-01,380.79
2007-04-01,380.55
2007-07-01,376.29
2007-10-01,375.09
2008-01-01,372.34
2008-04-01,362.94
2008-07-01,351.51
2008-10-01,348.27
2009-01-01,350.85
2009-04-01,341.65
2009-07-01,332.73
2009-10-01,330.2
2010-01-01,326.26
2010-04-01,323.3
2010-07-01,326.45
2010-10-01,324.13
2011-01-01,315.13
2011-04-01,309.6
2011-07-01,311.91
2011-10-01,313.34
2012-01-01,310.06
2012-04-01,308.66
2012-07-01,312.77
2012-10-01,315.22
2013-01-01,316.79
2013-04-01,321.63
2013-07-01,326.28
2013-10-01,328.89
2014-01-01,331.62
2014-04-01,338.04
2014-07-01,342.94
2014-10-01,345.71
2015-01-01,349.53
2015-04-01,355.21
2015-07-01,360.25
2015-10-01,363.17
2016-01-01,366.52
2016-04-01,373.39
2016-07-01,380.03
2016-10-01,383.0
2017-01-01,385.81
2017-04-01,394.45
2017-07-01,400.53
2017-10-01,403.87
2018-01-01,409.56
2018-04-01,417.12
2018-07-01,422.2
2018-10-01,423.66
2019-01-01,428.39
2019-04-01,435.51
2019-07-01,441.05
2019-10-01,444.99
2020-01-01,450.13
2020-04-01,454.6
2020-07-01,462.51
2020-10-01,472.69
2021-01-01,484.05
2021-04-01,511.01
2021-07-01,539.48
2021-10-01,558.11
2022-01-01,578.7
2022-04-01,618.37
2022-07-01,628.88
