Date,Index Level
05/04/2022,149.8240
05/03/2022,149.4750
05/02/2022,149.0490
04/30/2022,150.4480
04/29/2022,150.4380
04/28/2022,150.8960
04/27/2022,151.3360
04/26/2022,151.2010
04/25/2022,150.5660
04/22/2022,149.3740
04/21/2022,149.5540
04/20/2022,150.5920
04/19/2022,150.3500
04/18/2022,151.4020
04/14/2022,152.0920
04/13/2022,153.3250
04/12/2022,152.9280
04/11/2022,152.3810
04/08/2022,153.0580
04/07/2022,153.8710
04/06/2022,154.2620
04/05/2022,154.9810
04/04/2022,156.3430
04/01/2022,156.3600
03/31/2022,157.0060
03/30/2022,156.6150
03/29/2022,156.1100
03/28/2022,155.0790
03/25/2022,155.0480
03/24/2022,156.7540
03/23/2022,157.5100
03/22/2022,157.0340
03/21/2022,157.3140
03/18/2022,158.8800
03/17/2022,158.5060
03/16/2022,157.7590
03/15/2022,158.3230
03/14/2022,158.4140
03/11/2022,159.7350
03/10/2022,159.8270
03/09/2022,160.4380
03/08/2022,160.9270
03/07/2022,161.8400
03/04/2022,162.1580
03/03/2022,161.3730
03/02/2022,161.0960
03/01/2022,162.9130
02/28/2022,161.6830
02/25/2022,160.3980
02/24/2022,160.2550
02/23/2022,160.0020
02/22/2022,160.3760
02/21/2022,160.7610
02/18/2022,160.7290
02/17/2022,160.6140
02/16/2022,160.1500
02/15/2022,160.3520
02/14/2022,160.4230
02/11/2022,160.9990
02/10/2022,160.4550
02/09/2022,161.7970
02/08/2022,161.9370
02/07/2022,162.3510
02/04/2022,162.1180
02/03/2022,163.2060
02/02/2022,163.6860
02/01/2022,163.4200
01/31/2022,163.7490
01/28/2022,163.5020
01/27/2022,163.1970
01/26/2022,163.0090
01/25/2022,163.7670
01/24/2022,163.9540
01/21/2022,163.6080
01/20/2022,163.3220
01/19/2022,163.3720
01/18/2022,162.7310
01/17/2022,163.8510
01/14/2022,163.8200
01/13/2022,164.3250
01/12/2022,164.5120
01/11/2022,164.4770
01/10/2022,163.9960
01/07/2022,164.4050
01/06/2022,164.9110
01/05/2022,165.3240
01/04/2022,165.8190
01/03/2022,166.0610
12/31/2021,166.9130
12/30/2021,166.5530
12/29/2021,166.6480
12/28/2021,166.9760
12/27/2021,166.7800
12/23/2021,166.7130
12/22/2021,166.7520
12/21/2021,166.6000
12/20/2021,167.0640
12/17/2021,167.1100
12/16/2021,167.1470
12/15/2021,166.7180
12/14/2021,166.8840
12/13/2021,166.9290
12/10/2021,166.5990
12/09/2021,166.6770
12/08/2021,166.6500
12/07/2021,166.6330
12/06/2021,166.7260
12/03/2021,167.2450
12/02/2021,166.7200
12/01/2021,167.0570
11/30/2021,167.1490
11/29/2021,166.9330
11/26/2021,166.9060
11/25/2021,165.8720
11/24/2021,165.8610
11/23/2021,166.0610
11/22/2021,166.3840
11/19/2021,167.0260
11/18/2021,166.8190
11/17/2021,166.6830
11/16/2021,166.5570
11/15/2021,166.4980
11/12/2021,166.6360
11/11/2021,167.1060
11/10/2021,167.0950
11/09/2021,168.0300
11/08/2021,167.7160
11/05/2021,168.0140
11/04/2021,167.4170
11/03/2021,167.0060
11/02/2021,167.2190
11/01/2021,167.1020
10/31/2021,167.1280
10/29/2021,167.1070
10/28/2021,166.9750
10/27/2021,167.2700
10/26/2021,166.7190
10/25/2021,166.5610
10/22/2021,166.2020
10/21/2021,166.2550
10/20/2021,166.7370
10/19/2021,166.7170
10/18/2021,166.8080
10/15/2021,166.9480
10/14/2021,167.3920
